product_title,product_id,product_price,product_rating,product_colors,product_site
Pilot Metropolitan Fountain Pen - Black Plain - The Goulet Pen Company,PN91111,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
LAMY LX Fountain Pen - Rose Gold - The Goulet Pen Company,LMY-L76M,56.00,4.8,"marron,palladium,rosegold,ruthenium",gouletpens.com
TWSBI Mini Fountain Pen - Clear - The Goulet Pen Company,TW-M7442990,50.00,4.9,"Grape,Silver,Classic,Clear",gouletpens.com
LAMY vista Fountain Pen - black (Special Edition) - The Goulet Pen Company,LMY-L12GVBEF,34.90,4.8,"vista black,vista silver",gouletpens.com
Pilot E95s Fountain Pen - Burgundy/Ivory - The Goulet Pen Company,PN60839,144.00,4.9,"Black,Burgundy/Ivory",gouletpens.com
Pilot Custom 823 Fountain Pen - Amber - The Goulet Pen Company,PN60558,336.00,,"Amber,Smoke",gouletpens.com
Pilot Metropolitan Fountain Pen - Violet Leopard - The Goulet Pen Company,PN91138,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
Pilot Metropolitan Fountain Pen - Retro Pop Orange - The Goulet Pen Company,PN91443,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
Pilot Metropolitan Fountain Pen - Retro Pop Red - The Goulet Pen Company,PN91432,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
Pilot Metropolitan Fountain Pen - Gold Plain - The Goulet Pen Company,PN91112,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
TWSBI ECO Fountain Pen - Transparent Purple - The Goulet Pen Company,TW-M7447640,32.99,,"Black,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
TWSBI ECO-T Fountain Pen - Mint Blue - The Goulet Pen Company,TW-M7447520,32.99,,"Clear,Mint Blue,Rosso,Saffron,Clear",gouletpens.com
Noodler's Nib Creaper Flex Fountain Pen - Clear - The Goulet Pen Company,N17000,17.45,,"Ahab's Pearl,Arizona,Cardinal Darkness,Carniolan Honey,Clear,Green Mountain,Hudson Bay,Ivory Darkness,Jade,King Philip Purple,Medieval Lapis,Vulcan's Coral",gouletpens.com
Platinum Preppy Fountain Pen - Red - The Goulet Pen Company,Plat-PSQ-300-11-2,6.00,4.4,"Black,Blue,Crystal,Green,Pink,Red,Violet,Urokomon,Fukura Suzume",gouletpens.com
Platinum Preppy Fountain Pen - Crystal - The Goulet Pen Company,Plat-PSQC-400-04-2,7.00,4.4,"Black,Blue,Crystal,Green,Pink,Red,Violet,Urokomon,Fukura Suzume",gouletpens.com
Pilot Metropolitan Fountain Pen - Retro Pop Green - The Goulet Pen Company,PN91431,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
TWSBI ECO Fountain Pen - Transparent Blue - The Goulet Pen Company,TW-M7446860,32.99,,"Black,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
"Pilot Parallel Fountain Pen - Green, 3.8mm - The Goulet Pen Company",PN90052,14.13,3.8,"Blue,Green,Orange,Pink,Red,Teal",gouletpens.com
TWSBI ECO Fountain Pen - Smoke RoseGold - The Goulet Pen Company,TW-M7447970,49.99,,"Black,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
Noodler's Ahab Flex Fountain Pen - Lapis Inferno - The Goulet Pen Company,N15020,25.75,,"Ahab's Pearl,Arizona,Black,Cardinal Darkness,Carniolan Honey,Charon's Panther,Clear,Dover,Hudson Bay,Ivory Darkness,Jade,Lajes,Lapis Inferno,Medieval Lapis,Mesa Tortoise,Mesa Turquoise,Ramstein,Raven,Thule,Truk Lagoon",gouletpens.com
LAMY safari Fountain Pen - pink - The Goulet Pen Company,LMY-L13PKF,29.60,4.8,"aquasky,black,blue,blue/red,charcoal,cream,green,lightrose,mango,pink,pink cliff,red,springgreen,strawberry,violet blackberry,white,white/black,yellow",gouletpens.com
TWSBI ECO Fountain Pen - White RoseGold - The Goulet Pen Company,TW-M7447700,49.99,,"Black,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
Conklin Duragraph Fountain Pen - Forest Green - The Goulet Pen Company,CK71321,60.00,4.9,"Abalone Nights,Forest Green,Purple Nights,Turquoise Nights",gouletpens.com
Noodler's Triple Tail Flex Fountain Pen - Clear - The Goulet Pen Company,N13003,61.60,,Clear,gouletpens.com
TWSBI GO Fountain Pen - Smoke - The Goulet Pen Company,TW-M2530260,18.99,,"Clear,Sapphire,Smoke",gouletpens.com
LAMY AL-star Fountain Pen - turmaline - The Goulet Pen Company,LMY-L23M,37.60,4.8,"aquatic,azure,black,black-purple,bronze,cosmic,fiery,graphite,lilac,oceanblue,petrol,turmaline,white silver",gouletpens.com
"Pilot Varsity Fountain Pen - Black, Medium - The Goulet Pen Company",PN90010,3.50,,"Assorted,Black,Blue,Purple",gouletpens.com
LAMY AL-star Fountain Pen - oceanblue - The Goulet Pen Company,LMY-L28F,37.60,4.8,"aquatic,azure,black,black-purple,bronze,cosmic,fiery,graphite,lilac,oceanblue,petrol,turmaline,white silver",gouletpens.com
LAMY safari Fountain Pen - blue - The Goulet Pen Company,LMY-L14EF,29.60,4.8,"aquasky,black,blue,blue/red,charcoal,cream,green,lightrose,mango,pink,pink cliff,red,springgreen,strawberry,violet blackberry,white,white/black,yellow",gouletpens.com
TWSBI GO Fountain Pen - Sapphire - The Goulet Pen Company,TW-M2530210,18.99,,"Clear,Sapphire,Smoke",gouletpens.com
LAMY AL-star Fountain Pen - black - The Goulet Pen Company,LMY-L71BKM,37.60,4.8,"aquatic,azure,black,black-purple,bronze,cosmic,fiery,graphite,lilac,oceanblue,petrol,turmaline,white silver",gouletpens.com
TWSBI ECO-T Fountain Pen - Clear - The Goulet Pen Company,TW-M7446360,32.99,,"Clear,Mint Blue,Rosso,Saffron,Clear",gouletpens.com
LAMY safari Fountain Pen - white - The Goulet Pen Company,LMY-L19WEF,29.60,4.8,"aquasky,black,blue,blue/red,charcoal,cream,green,lightrose,mango,pink,pink cliff,red,springgreen,strawberry,violet blackberry,white,white/black,yellow",gouletpens.com
LAMY Lx Fountain Pen - marron - The Goulet Pen Company,LMY-L90EF,56.00,4.8,"marron,palladium,rosegold,ruthenium",gouletpens.com
TWSBI ECO Fountain Pen - Glow Green - The Goulet Pen Company,TW-M7449110,32.99,,"Black,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
"Pilot Parallel Fountain Pen - Blue, 6.0mm - The Goulet Pen Company",PN90053,14.13,3.8,"Blue,Green,Orange,Pink,Red,Teal",gouletpens.com
TWSBI Vac Mini Fountain Pen - Smoke - The Goulet Pen Company,TW-M7445910,60.00,,"Clear,Smoke",gouletpens.com
LAMY joy Fountain Pen - AL black - The Goulet Pen Company,LMY-L11-11,32.00,4.8,"AL black,black,strawberry",gouletpens.com
Pilot E95s Fountain Pen - Black - The Goulet Pen Company,PN60837,144.00,4.9,"Black,Burgundy/Ivory",gouletpens.com
Pilot Vanishing Point Decimo Fountain Pen - Champagne - The Goulet Pen Company,PN65346,160.00,4.9,"Black,Burgundy,Champagne,Dark Grey,Navy,Purple,White",gouletpens.com
Pilot Custom 823 Fountain Pen - Smoke - The Goulet Pen Company,PN60470,336.00,,"Amber,Smoke",gouletpens.com
Noodler's Ahab Flex Fountain Pen - Truk Lagoon - The Goulet Pen Company,N15065,25.75,,"Ahab's Pearl,Arizona,Black,Cardinal Darkness,Carniolan Honey,Charon's Panther,Clear,Dover,Hudson Bay,Ivory Darkness,Jade,Lajes,Lapis Inferno,Medieval Lapis,Mesa Tortoise,Mesa Turquoise,Ramstein,Raven,Thule,Truk Lagoon",gouletpens.com
Noodler's Ahab Flex Fountain Pen - Mesa Turquoise - The Goulet Pen Company,N15060,25.75,,"Ahab's Pearl,Arizona,Black,Cardinal Darkness,Carniolan Honey,Charon's Panther,Clear,Dover,Hudson Bay,Ivory Darkness,Jade,Lajes,Lapis Inferno,Medieval Lapis,Mesa Tortoise,Mesa Turquoise,Ramstein,Raven,Thule,Truk Lagoon",gouletpens.com
Kaweco Classic Sport Fountain Pen - Green - The Goulet Pen Company,KAW-10000487,28.00,4.4,"Black,Bordeaux,Green,Navy,White,Blush Pitaya,Fine Lime,Natural Coconut,Sweet Banana,Black,Fox,Grey,Apricot Pearl,Cyan,Dark Olive,Iridescent Pearl,Mellow Blue,Sage,Toyama Teal",gouletpens.com
TWSBI Precision Fountain Pen - The Goulet Pen Company,TW-M7446210,80.00,,,gouletpens.com
