product_title,product_id,product_price,product_rating,product_colors,product_site
Gift Card,GFT,5.00,,,gouletpens.com
Clairefontaine Kenzo A5 Notebook - Lined,CF-115902C,9.50,,,gouletpens.com
Col-o-ring Ink Testing Book,CO-10001,12.00,4.8,,gouletpens.com
Pilot Metropolitan Fountain Pen - Black Plain,PN91111,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
TWSBI ECO Fountain Pen - Clear,TW-M7445300,32.99,,"Black,Caffè Bronze,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
Platinum Preppy Fountain Pen - Black,Plat-PSQ-400-01-1,7.00,4.4,"Black,Blue,Crystal,Green,Pink,Red,Violet,Urokomon,Fukura Suzume",gouletpens.com
TWSBI ECO Fountain Pen - Black,TW-M7444280,32.99,,"Black,Caffè Bronze,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
Noodler's Ahab Flex Fountain Pen - Clear,N15021,25.75,,"Ahab's Pearl,Arizona,Black,Cardinal Darkness,Carniolan Honey,Charon's Panther,Clear,Dover,Hudson Bay,Ivory Darkness,Jade,Lajes,Lapis Inferno,Medieval Lapis,Mesa Tortoise,Mesa Turquoise,Ramstein,Raven,Thule,Truk Lagoon",gouletpens.com
LAMY safari Fountain Pen - charcoal,LMY-L17EF,29.60,4.8,"aquasky,black,blue,blue/red,charcoal,cream,green,lightrose,mango,pink,pink cliff,red,springgreen,strawberry,violet blackberry,white,white/black,yellow",gouletpens.com
TWSBI Diamond 580 Fountain Pen - Clear,TW-M7443110,50.00,4.9,"Clear,Iris,Smoke RoseGold II,White RoseGold II,Silver,Black,Navy Blue,Nickel Gray,Prussian Blue,Sunset Yellow",gouletpens.com
Platinum Preppy Fountain Pen - Blue,Plat-PSQ-400-03-1,7.00,4.4,"Black,Blue,Crystal,Green,Pink,Red,Violet,Urokomon,Fukura Suzume",gouletpens.com
TWSBI ECO Fountain Pen - White,TW-M7444330,32.99,,"Black,Caffè Bronze,Cerulean,Clear,Creme w/ RoseGold,Cerulean,Glow Green,Glow Purple,Heat,Indigo Blue,Persian Green,Smoke RoseGold,Blue,Purple,Yellow,White,White RoseGold",gouletpens.com
LAMY 2000 Fountain Pen - Black,LMY-L01EF,223.20,4.7,"Black,Stainless Steel",gouletpens.com
Pilot Metropolitan Fountain Pen - Retro Pop Turquoise,PN91436,25.42,4.9,"Black Crocodile,Black Plain,Bronze Lizard,Gold Plain,Gold Zig-Zag,Retro Pop Gray,Retro Pop Green,Retro Pop Orange,Retro Pop Purple,Retro Pop Red,Retro Pop Turquoise,Silver Dots,Silver Plain,Violet Leopard,White Tiger",gouletpens.com
